"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","dissim","P","C","L","N","A","I","SU","FU","H","M","S","D","remark","Lv"
"58",0.2842725,0.3208125,1.040955,1.492485,0.647,5.56,0.510769231,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"59",0.395415,0.30798,1.0005,1.37199,0.69726,NA,0.506622517,0,1,0,0,0,0,0,0,0,0,0,0,0,"P",1
"60",0.3512625,0.2803575,0.90045,1.358505,0.72301,6.12,0.536912752,0,0,0,0,0,0,0,0,1,0,0,0,0,"FU",1
"61",0.34626,0.2825325,0.93786,1.25019,0.63945,5.69,0.444444444,0,0,1,0,0,0,0,0,0,0,0,0,0,"C",1
"62",0.38802,0.3338625,0.96222,1.170585,0.65496,5.62,0.447098976,0,0,0,0,0,0,0,1,0,0,0,0,0,"SU",1
"63",0.7779975,0.30972,1.32675,0.97962,0.67666,6.28,0.402515723,0,0,0,0,0,0,0,0,0,0,0,0,1,"D",1
"64",0.9602625,0.312765,1.18755,1.4007,0.67683,5.16,0.606451613,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"65",0.3399525,0.268395,0.97614,1.326315,0.69319,5.64,0.503333333,0,0,0,0,0,0,0,0,0,1,0,0,0,"H",1
"66",0.1650825,0.1328925,0.76038,1.167975,0.6752,5.78,0.62987013,0,0,0,1,0,0,0,0,0,0,0,0,0,"L",1
"67",0.261,0.0415425,0.95526,1.021815,0.68906,5.69,0.645051195,0,0,0,0,0,0,0,0,1,0,0,0,0,"FU",1
"68",0.3016725,0.2429475,0.420645,1.14231,0.6762,5.73,0.541254125,0,0,0,0,0,0,1,0,0,0,0,0,0,"I",1
"69",0.0045675,0.003045,0.02001,0.029145,0.65311,5.43,0.62745098,0,0,0,1,0,0,0,0,0,0,0,0,0,"L",1
"70",0.5935575,0.312765,1.215825,1.670835,0.63243,6.38,0.460750853,0,0,0,0,0,0,0,0,0,0,0,1,0,"S",1
"71",0.374535,0.2220675,1.3224,1.426365,0.75702,5.84,0.549206349,0,0,0,0,0,0,0,0,0,1,0,0,0,"H",1
"72",0.3393,0.17574,1.123605,1.41723,0.65611,5.82,0.675767918,0,0,0,0,0,0,1,0,0,0,0,0,0,"I",1
"73",0.3915,0.1703025,1.17189,1.52163,0.6783,5.46,0.765536723,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"74",0.3334275,0.3886725,1.26237,1.37721,0.64178,5.75,0.449180328,0,0,0,0,1,0,0,0,0,0,0,0,0,"N",1
"75",0.40194,0.3608325,1.167975,1.24149,0.69431,5.91,0.533333333,0,0,0,0,0,0,0,0,1,0,0,0,0,"FU",1
"76",0.3973725,0.41238,1.0266,1.277595,0.65002,5.47,0.610561056,0,0,0,0,0,1,0,0,0,0,0,0,0,"A",1
"77",0.338865,0.29928,1.10142,1.410705,0.66589,5.73,0.521311475,0,1,0,0,0,0,0,0,0,0,0,0,0,"P",1
"78",0.3934575,0.3708375,1.174935,1.27107,0.65919,5.72,0.536184211,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"79",0.358875,0.3269025,1.224525,1.248015,0.65863,5.62,0.665634675,0,0,1,0,0,0,0,0,0,0,0,0,0,"C",1
"80",0.3577875,0.34104,1.058355,1.24584,0.70275,5.59,0.638554217,0,0,0,0,1,0,0,0,0,0,0,0,0,"N",1
"81",0.3834525,0.2503425,1.12665,1.636905,0.65278,5.47,0.670926518,0,0,0,1,0,0,0,0,0,0,0,0,0,"L",1
"82",0.22011,0.1998825,0.67251,1.238445,NA,5.97,0.666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,"P",1
"83",0.34626,0.2159775,0.900015,1.796985,0.65643,5.67,0.591772152,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
