"","Random.Nr","Tube.Nr","Factor.Num","Factor.Spec","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA"
"98",212,239,1,"Drought",0.002175,0.004785,1.74174,1.9401,0.67143,6.23,0.598130841
"99",214,243,1,"Drought",0.002175,0.0110925,2.313765,1.84614,0.64997,6.75,0.498305085
"100",215,187,1,"Herb",NA,NA,1.44246,1.715205,0.69554,5.56,0.653495441
"101",221,238,1,"Li",NA,NA,0.85521,1.59645,0.68275,5.75,0.735973597
"102",224,274,0,"Water Control",0.0045675,0.00174,0.602475,1.957065,0.65498,6.32,0.523961661
"103",234,229,1,"Cu",NA,NA,0.9744,1.438545,0.69335,5.66,0.626198083
"104",237,195,1,"Insect",0.0023925,0.001305,1.00659,1.60341,0.62466,5.35,0.572327044
"105",240,269,0,"Water Control",0.0002175,0.001305,1.003545,1.534245,0.6614,5.88,0.620178042
"106",241,255,0,"Control",0,0.0002175,NA,NA,0.65444,5.59,0.568493151
"107",242,246,1,"Drought",NA,0.003915,0,0.008265,0.69494,6.69,0.304985337
"108",243,276,0,"Water Control",0.0023925,0.001305,0.006525,NA,0.65592,6.05,0.556634304
"109",245,266,0,"Control",NA,NA,0.003045,NA,0.63915,5.49,0.736842105
"110",246,201,1,"Salin",0.000435,0.0023925,0.006525,NA,0.6649,5.68,0.586092715
"111",248,183,1,"Herb",0.0045675,0.0023925,0.426735,NA,0.61261,5.7,0.810897436
"112",250,265,0,"Control",0.0023925,NA,NA,0.006525,0.68437,5.77,0.50798722
"113",252,213,1,"Nit",NA,0.0019575,NA,0.02088,0.63787,5.78,0.752321981
"114",253,177,1,"Fung",NA,0.003045,0.00348,0.012615,0.68252,5.82,NA
"115",254,167,1,"AntiB",0.0002175,0.0032625,0.006525,0.013485,0.67464,5.65,0.59025788
"116",255,248,0,"Control",NA,0.00261,0,0.00696,0.61862,5.55,0.669590643
"117",257,244,1,"Drought",NA,NA,NA,NA,0.64712,6.57,0.416666667
"118",258,227,1,"Cu",0.00087,0,NA,0.00348,0.6565,5.69,0.549839228
"119",261,181,1,"Fung",NA,NA,NA,NA,0.71047,5.74,0.745980707
"120",262,223,1,"Cu",0.0032625,0.0045675,0.00522,0.00783,0.67624,5.65,0.587662338
"121",264,171,1,"AntiB",0.00174,0.005655,0,NA,0.67,5.6,0.590909091
"122",267,212,1,"Nit",NA,0.0054375,NA,NA,0.68253,5.79,0.493377483
"123",268,196,1,"Insect",NA,0,NA,0.01131,NA,5.53,0.568181818
