"","Random.Nr","Tube.Nr","Factor.Num","Tube.label","Factor.Spec","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA"
"29",29,79,5,"79-5f-D-124S","Five Factors",0.0010875,0.60813,1.629945,NA,0.59307,6.74,0.471471471
"30",30,173,1,"173-S-5","AntiB",0.00087,0.347565,1.110555,1.20147,0.60871,5.64,0.582554517
"31",31,190,1,"190-S-9","Herb",0.0015225,0.3369075,0.98571,1.607325,0.63761,5.85,0.692789969
"32",32,163,1,"163-S-M","MP",0.001305,0.4578375,1.19625,1.20234,0.65144,5.97,0.527272727
"33",33,98,5,"98-5f--1367M","Five Factors",NA,0.2372925,0.958305,1.58688,0.6495,5.78,0.540983607
"34",34,264,0,"264-C-0","Control",NA,0.390195,0.883485,1.517715,0.71235,5.68,0.625
"35",35,119,2,"119-2f--52","Two Factors",0.0010875,0.1246275,0.754725,1.28934,0.64571,5.83,0.506451613
"36",36,104,2,"104-2f--75","Two Factors",NA,0.1376775,0.718185,1.399395,0.67185,5.75,0.536666667
"37",37,159,1,"159-S-M","MP",NA,0.348,0.892185,1.440285,0.66489,5.86,0.605095541
"38",38,29,8,"29-8f--2345679M","Eight Factors",0.003045,0.338865,0.886095,1.20495,0.6291,5.94,0.52
"39",39,13,8,"13-8f--1234679M","Eight Factors",NA,0.4395675,0.88914,1.31544,0.66033,5.63,0.566775244
"40",40,77,5,"77-5f--3578S","Five Factors",0.00522,0.308415,0.924375,1.86876,0.64626,6.92,0.544303797
"41",41,241,1,"241-S-D","Drought",0.0076125,0.30276,1.459425,1.510755,0.67691,6.64,0.554098361
"42",42,45,8,"45-8f-D-12578MS","Eight Factors",0.0158775,1.084455,3.729255,2.294625,0.52921,6.8,0.417956656
"43",43,51,5,"51-5f-D-458S","Five Factors",0.00783,0.53331,2.218065,1.948365,0.50572,6.98,0.463722397
"44",44,240,1,"240-S-D","Drought",0.0067425,0.257955,0.83346,1.259325,0.67864,6.09,0.458471761
"45",45,49,8,"49-8f-D-35689MS","Eight Factors",NA,0.23316,0.63423,1.895295,0.50681,7.02,0.592261905
"46",46,67,5,"67-5f-D-19MS","Five Factors",0.0050025,1.222785,3.59049,2.419035,0.60997,7,0.426332288
"47",47,230,1,"230-S-2","Cu",0.0006525,NA,0.62118,1.14579,0.69127,5.58,0.635451505
"48",48,180,1,"180-S-8","Fung",0.0006525,0.1228875,0.490245,1.32066,0.65951,5.83,0.624584718
"49",49,124,2,"124-2f--83","Two Factors",0.279705,0.1389825,0.849555,1.110555,0.69442,5.7,0.598615917
"50",50,82,5,"82-5f-D-2369","Five Factors",1.9433625,0.45588,2.61087,1.129695,0.68423,6.31,0.593103448
"51",51,1,8,"1-8f--1346789M","Eight Factors",0.37497,0.0957,1.747395,1.30674,0.59704,5.93,0.47440273
"52",52,7,8,"7-8f-D-12456MS","Eight Factors",1.6965,0.4678425,2.012745,1.02138,0.66996,6.55,0.526984127
"53",53,73,5,"73-5f--3569S","Five Factors",0.546795,0.303195,1.485525,1.84875,0.63241,6.73,0.451298701
