"","Random.Nr","Tube.Nr","Factor.Num","Tube.label","Factor.Spec","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA"
"236",236,135,2,"135-2f--59","Two Factors",NA,NA,0.625095,1.377645,0.70083,5.62,0.599369085
"237",237,195,1,"195-S-6","Insect",0.0023925,0.001305,1.00659,1.60341,0.62466,5.35,0.572327044
"238",238,54,5,"54-5f--12389","Five Factors",0.0010875,0.0032625,0.967005,1.3311,0.70288,5.68,0.487421384
"239",239,71,5,"71-5f--23579","Five Factors",NA,NA,1.14927,1.315005,0.67572,5.76,0.680645161
"240",240,269,0,"269-WC-0","Water Control",0.0002175,0.001305,1.003545,1.534245,0.6614,5.88,0.620178042
"241",241,255,0,"255-C-0","Control",0,0.0002175,NA,NA,0.65444,5.59,0.568493151
"242",242,246,1,"246-S-D","Drought",NA,0.003915,0,0.008265,0.69494,6.69,0.304985337
"243",243,276,0,"276-WC-0","Water Control",0.0023925,0.001305,0.006525,NA,0.65592,6.05,0.556634304
"244",244,149,2,"149-2f--85","Two Factors",0.0002175,0.0010875,0.010005,NA,0.60199,5.64,0.591591592
"245",245,266,0,"266-C-0","Control",NA,NA,0.003045,NA,0.63915,5.49,0.736842105
"246",246,201,1,"201-S-7","Salin",0.000435,0.0023925,0.006525,NA,0.6649,5.68,0.586092715
"247",247,39,8,"39-8f-D-1356789","Eight Factors",0.00522,0.0132675,NA,0.027405,0.70866,6.87,0.431746032
"248",248,183,1,"183-S-9","Herb",0.0045675,0.0023925,0.426735,NA,0.61261,5.7,0.810897436
"249",249,120,2,"120-2f-D-9","Two Factors",0.0006525,0.0019575,NA,NA,0.64636,6.61,0.4
"250",250,265,0,"265-C-0","Control",0.0023925,NA,NA,0.006525,0.68437,5.77,0.50798722
"251",251,101,2,"101-2f--93","Two Factors",NA,0.00348,NA,0.014355,0.67542,5.65,0.608974359
"252",252,213,1,"213-S-4","Nit",NA,0.0019575,NA,0.02088,0.63787,5.78,0.752321981
"253",253,177,1,"177-S-8","Fung",NA,0.003045,0.00348,0.012615,0.68252,5.82,NA
"254",254,167,1,"167-S-5","AntiB",0.0002175,0.0032625,0.006525,0.013485,0.67464,5.65,0.59025788
"255",255,248,0,"248-C-0","Control",NA,0.00261,0,0.00696,0.61862,5.55,0.669590643
"256",256,123,2,"123-2f--17","Two Factors",NA,0.002175,NA,NA,0.67243,5.81,0.540716612
"257",257,244,1,"244-S-D","Drought",NA,NA,NA,NA,0.64712,6.57,0.416666667
"258",258,227,1,"227-S-2","Cu",0.00087,0,NA,0.00348,0.6565,5.69,0.549839228
"259",259,32,8,"32-8f-D-134589S","Eight Factors",0.0045675,0.0050025,0.00348,0.02436,0.53247,6.87,0.424148607
"260",260,41,8,"41-8f-D-23467MS","Eight Factors",0.004785,0.00348,0.003915,0.00609,0.495,6.78,0.473509934
"261",261,181,1,"181-S-8","Fung",NA,NA,NA,NA,0.71047,5.74,0.745980707
"262",262,223,1,"223-S-2","Cu",0.0032625,0.0045675,0.00522,0.00783,0.67624,5.65,0.587662338
"263",263,57,5,"57-5f-D-3478","Five Factors",NA,0.0023925,NA,0.008265,0.71777,6.69,0.4
"264",264,171,1,"171-S-5","AntiB",0.00174,0.005655,0,NA,0.67,5.6,0.590909091
"265",265,55,5,"55-5f-D-3469","Five Factors",0.0028275,0.00174,NA,NA,0.7068,6.65,0.541528239
"266",266,21,8,"21-8f-D-25689MS","Eight Factors",0.0010875,0.00348,0.00783,0.00783,0.54193,6.44,0.388059701
"267",267,212,1,"212-S-4","Nit",NA,0.0054375,NA,NA,0.68253,5.79,0.493377483
"268",268,196,1,"196-S-6","Insect",NA,0,NA,0.01131,NA,5.53,0.568181818
"269",269,117,2,"117-2f--76","Two Factors",NA,0.0032625,NA,0.00522,0.65905,5.78,0.697674419
"270",270,102,2,"102-2f--49","Two Factors",0.002175,NA,NA,0.00348,0.63373,5.7,0.554179567
